# wlstart: 490.0
# wlend: 1000.0
# countthresh: 10000
# aqpixstart: 46
# aqpixend: 963
#  wavelenth in nm 	 intensity in counts
7.365779999999999745e+02	5.623990708607456099e+02
7.371359999999999673e+02	5.535550270010965050e+02
7.376929999999999836e+02	5.426364173519737051e+02
7.382500000000000000e+02	5.287792112116228509e+02
7.388070000000000164e+02	5.164439348958333085e+02
7.393650000000000091e+02	5.019858559484648595e+02
7.399220000000000255e+02	4.879181234923245256e+02
7.404790000000000418e+02	4.756837243695175061e+02
7.410359999999999445e+02	4.668835357730262672e+02
7.415929999999999609e+02	4.535789612116227545e+02
7.421509999999999536e+02	4.431296541940789666e+02
7.427079999999999700e+02	4.338908691063596166e+02
7.432649999999999864e+02	4.284941892817982421e+02
7.438220000000000027e+02	4.271457550712719353e+02
7.443790000000000191e+02	4.246174962993421218e+02
7.449360000000000355e+02	4.223611673519736769e+02
7.454930000000000518e+02	4.242276454221491235e+02
7.460499999999999545e+02	4.266950006853070363e+02
7.466069999999999709e+02	4.300527068256579355e+02
7.471649999999999636e+02	4.342919962993421450e+02
7.477219999999999800e+02	4.396409305098684399e+02
7.482789999999999964e+02	4.470644261239035586e+02
7.488360000000000127e+02	4.527203778782894688e+02
7.493930000000000291e+02	4.593412419133771891e+02
7.499500000000000455e+02	4.670629831414473756e+02
7.505069999999999482e+02	4.708987594572368494e+02
7.510639999999999645e+02	4.789845357730263231e+02
7.516209999999999809e+02	4.822282068256578782e+02
7.521779999999999973e+02	4.865639831414473520e+02
7.527350000000000136e+02	4.926234436677631834e+02
7.532920000000000300e+02	4.938978164747807114e+02
7.538490000000000464e+02	4.967511366502192800e+02
7.544059999999999491e+02	4.987623515624999868e+02
7.549629999999999654e+02	4.988568998081140649e+02
7.555199999999999818e+02	4.991795182291666606e+02
7.560769999999999982e+02	4.945942419133772319e+02
7.566330000000000382e+02	4.939738734923245715e+02
7.571900000000000546e+02	4.895640357730263190e+02
7.577469999999999573e+02	4.840884085800438470e+02
7.583039999999999736e+02	4.798057638432017598e+02
7.588609999999999900e+02	4.709266278782894801e+02
7.594180000000000064e+02	4.637667901589912276e+02
7.599750000000000227e+02	4.556332682291666742e+02
7.605320000000000391e+02	4.496927287554825057e+02
7.610879999999999654e+02	4.420855182291666665e+02
7.616449999999999818e+02	4.328379612116228259e+02
7.622019999999999982e+02	4.270246147203947658e+02
7.627590000000000146e+02	4.212244261239034699e+02
7.633160000000000309e+02	4.170382726151315183e+02
7.638719999999999573e+02	4.160626410361842318e+02
7.644289999999999736e+02	4.082405226151315674e+02
7.649859999999999900e+02	4.137254217379386318e+02
7.655430000000000064e+02	4.143506717379386259e+02
7.661000000000000227e+02	4.171031147203947853e+02
7.666559999999999491e+02	4.210266059484649190e+02
7.672129999999999654e+02	4.238711541940789402e+02
7.677699999999999818e+02	4.257990357730263327e+02
7.683260000000000218e+02	4.298541059484649054e+02
7.688830000000000382e+02	4.300583033168859970e+02
7.694400000000000546e+02	4.344423252467105385e+02
7.699969999999999573e+02	4.333175752467105326e+02
7.705529999999999973e+02	4.329647506853070240e+02
7.711100000000000136e+02	4.331689480537280588e+02
7.716670000000000300e+02	4.301406892817982452e+02
7.722229999999999563e+02	4.297352331414473383e+02
7.727799999999999727e+02	4.257859217379385655e+02
7.733360000000000127e+02	4.250822199835525907e+02
7.738930000000000291e+02	4.214136103344297908e+02
7.744500000000000455e+02	4.162055270010964705e+02
7.750059999999999718e+02	4.143395445449561407e+02
7.755629999999999882e+02	4.104297068256578882e+02
7.761190000000000282e+02	4.064672331414474229e+02
7.766760000000000446e+02	4.012810796326754712e+02
7.772319999999999709e+02	3.969326410361842363e+02
7.777889999999999873e+02	3.932113998081140380e+02
7.783460000000000036e+02	3.875647199835526067e+02
7.789020000000000437e+02	3.851022462993421414e+02
7.794579999999999700e+02	3.816441585800438361e+02
7.800149999999999864e+02	3.790895840186403234e+02
7.805720000000000027e+02	3.753595708607456345e+02
7.811280000000000427e+02	3.744058691063596598e+02
7.816839999999999691e+02	3.728469041940790021e+02
7.822409999999999854e+02	3.669282945449562021e+02
7.827970000000000255e+02	3.684044173519736205e+02
7.833540000000000418e+02	3.645143164747806850e+02
7.839099999999999682e+02	3.655277199835526289e+02
7.844669999999999845e+02	3.643327945449561867e+02
7.850230000000000246e+02	3.606422506853070331e+02
7.855789999999999509e+02	3.604385489309210584e+02
7.861359999999999673e+02	3.604453778782894915e+02
7.866920000000000073e+02	3.579609743695175439e+02
7.872490000000000236e+02	3.577485050712718930e+02
7.878049999999999500e+02	3.562465577028508505e+02
7.883609999999999900e+02	3.537314524396929869e+02
7.889180000000000064e+02	3.512909129660088183e+02
7.894740000000000464e+02	3.502012462993421309e+02
7.900299999999999727e+02	3.471685971765350587e+02
7.905860000000000127e+02	3.452148954221490840e+02
7.911430000000000291e+02	3.390243559484649154e+02
7.916989999999999554e+02	3.333952155975877076e+02
7.922549999999999955e+02	3.283976541940789957e+02
7.928120000000000118e+02	3.246413252467105508e+02
7.933680000000000518e+02	3.175955182291666574e+02
7.939239999999999782e+02	3.131198866502193141e+02
7.944800000000000182e+02	3.074337287554824343e+02
7.950359999999999445e+02	3.016247638432017197e+02
7.955929999999999609e+02	2.968991366502192477e+02
7.961490000000000009e+02	2.911164875274122892e+02
7.967050000000000409e+02	2.841233120888157941e+02
7.972609999999999673e+02	2.786520664747806677e+02
7.978170000000000073e+02	2.699088910361841727e+02
7.983740000000000236e+02	2.640429129660087710e+02
7.989299999999999500e+02	2.579357024396929887e+02
7.994859999999999900e+02	2.532232287554824666e+02
8.000420000000000300e+02	2.448440884046052588e+02
8.005979999999999563e+02	2.404737199835526269e+02
8.011539999999999964e+02	2.346910708607456115e+02
8.017100000000000364e+02	2.313996498081140203e+02
8.022659999999999627e+02	2.268494568256579100e+02
